MLSNum,HouseStatus,StatusChangeTimestamp,PropType,ListPrice,ClosePrice,Address,City,Acres,SqFtTotal,SqFtEstHeatedAboveGrade,StyleorRentType,RoomsTotal,BedsTotal,Bathrooms,GaragePark,YearBuilt,DaysonMarket,AgentID,listingagent,PhoneNumber,Email,Year,Year_Month,Day_of_Week
170523000,CLSD,2022-10-30,SF,339900,335000.0,79 Brook St,Rocky Hill,3.02,2132,1664,Colonial,6,3,1.5,2 Car/Attached Garage,1948,9,179,Lisa H Bowman,8600568429,lisahbowman@example.com,2022,2022-10,Sunday
170533304,CLSD,2023-02-28,SF,325000,324500.0,228 Nott St,Wethersfield,0.24,2306,1806,Cape Cod,6,3,2.0,2 Car/Detached Garage,1948,19,179,Lisa H Bowman,8600568429,lisahbowman@example.com,2023,2023-02,Tuesday
170543963,CLSD,2023-02-14,SF,299900,320000.0,302 Back Ln,Wethersfield,0.51,1541,1541,Ranch,7,3,2.0,2 Car/Attached Garage,1981,8,179,Lisa H Bowman,8600568429,lisahbowman@example.com,2023,2023-02,Tuesday
170543399,CLSD,2023-02-28,SF,179900,185000.0,155 Nilan St,Hartford,0.14,1392,1392,Row House,7,3,1.5,1 Car/Attached Garage,1998,5,181,Rick Galarza,4754935021,rickgalarza@example.com,2023,2023-02,Tuesday
170454017,CLSD,2022-04-08,SF,213000,209000.0,49 Mountain St,Hartford,0.14,1564,1564,Colonial,6,3,1.5, Car/Paved,1900,102,185,Lizette Jimenez,9592792758,lizettejimenez@example.com,2022,2022-04,Friday
170525662,CLSD,2023-02-08,SF,349000,343000.0,75 Vernon St W.,Manchester,0.48,2028,1248,Ranch,5,3,2.0," Car/Driveway, Off Street Parking",1969,100,189,Linet Cuadros,9593528476,linetcuadros@example.com,2023,2023-02,Wednesday
170535525,CLSD,2023-03-16,SF,235000,231000.0,232 Campfield Ave,Hartford,0.1,1092,1092,Cape Cod,6,3,1.5, Car/Paved,1925,53,189,Linet Cuadros,9593528476,linetcuadros@example.com,2023,2023-03,Thursday
170469656,CLSD,2022-03-31,SF,388000,415000.0,25 Bramley Rd,West Hartford,0.21,2044,1372,Colonial,4,3,1.5,1 Car/Attached Garage,1958,14,191,Derek Greene,8607024051,derekgreene@example.com,2022,2022-03,Thursday
170527538,CLSD,2022-11-14,SF,299000,307000.0,111 Ashland Ave,Newington,0.16,1624,1224,Ranch,6,3,2.0,1 Car/Attached Garage,1976,14,191,Derek Greene,8607024051,derekgreene@example.com,2022,2022-11,Monday
170535978,CLSD,2022-12-31,SF,184000,180000.0,677 Forbes St,East Hartford,0.41,1382,1382,Cape Cod,6,3,1.5,"2 Car/Attached Garage, Paved, Off Street Parking",1948,4,191,Derek Greene,8607024051,derekgreene@example.com,2022,2022-12,Saturday
170476285,CLSD,2022-05-10,SF,235000,260000.0,365 Hills St,East Hartford,0.79,1263,1263,Cape Cod,6,3,2.0,1 Car/Detached Garage,1935,4,192,Felix P Duverger,9596538201,felixpduverger@example.com,2022,2022-05,Tuesday
170477384,CLSD,2022-06-20,SF,295000,295000.0,124 Milwood Rd,East Hartford,0.28,1840,1840,Colonial,7,3,2.0,2 Car/Attached Garage,1939,10,192,Felix P Duverger,9596538201,felixpduverger@example.com,2022,2022-06,Monday
170481585,CLSD,2022-05-19,SF,249900,270000.0,65 Mallard Dr,East Hartford,0.31,1365,1040,Ranch,6,3,2.0,"2 Car/Attached Garage, Off Street Parking",1954,2,192,Felix P Duverger,9596538201,felixpduverger@example.com,2022,2022-05,Thursday
170487632,CLSD,2022-08-30,SF,269900,287000.0,39 Fowler Ln,East Hartford,0.27,2449,1449,Ranch,7,3,1.5,2 Car/Attached Garage,1961,4,192,Felix P Duverger,9596538201,felixpduverger@example.com,2022,2022-08,Tuesday
170525142,CLSD,2022-10-31,SF,249900,269000.0,31 Holland Ln,East Hartford,0.37,1274,1274,Ranch,6,3,1.5,1 Car/Attached Garage,1961,4,192,Felix P Duverger,9596538201,felixpduverger@example.com,2022,2022-10,Monday
170541017,CLSD,2023-02-17,SF,235000,245000.0,71 Cross Dr,East Hartford,0.53,1834,1184,Raised Ranch,6,3,2.0,"1 Car/Attached Garage, Under House Garage",1963,2,194,Catherine Colletti,4751325244,catherinecolletti@example.com,2023,2023-02,Friday
170478856,CLSD,2022-08-18,SF,155000,145000.0,16 Forbes St,East Hartford,0.15,1208,1208,Bungalow,6,3,2.0,1 Car/Detached Garage,1900,26,196,Ruth Chandler,8607739728,ruthchandler@example.com,2022,2022-08,Thursday
170487371,CLSD,2022-07-18,SF,374900,364250.0,1422 Boulevard,West Hartford,0.16,1630,1630,Colonial,7,3,1.5," Car/Paved, On Street Parking",1935,69,197,David J Lemkuil,8602680784,davidjlemkuil@example.com,2022,2022-07,Monday
170494920,CLSD,2022-07-18,SF,425000,451000.0,81 Lemay St,West Hartford,0.24,2053,2053,Colonial,7,3,1.5,1 Car/Detached Garage,1937,7,197,David J Lemkuil,8602680784,davidjlemkuil@example.com,2022,2022-07,Monday
170507380,CLSD,2022-11-02,SF,173500,150000.0,70 Bedford Ave,East Hartford,0.19,1378,1378,Cape Cod,7,3,2.0,1 Car/Detached Garage,1942,88,197,David J Lemkuil,8602680784,davidjlemkuil@example.com,2022,2022-11,Wednesday
170526930,CLSD,2022-11-30,SF,449900,460000.0,12 Brookline Dr,West Hartford,0.31,2096,1796,Colonial,7,3,1.5,1 Car/Attached Garage,1936,18,197,David J Lemkuil,8602680784,davidjlemkuil@example.com,2022,2022-11,Wednesday
170473127,CLSD,2022-04-22,SF,120000,152500.0,168 Jerry Rd,East Hartford,0.2,1196,1196,Raised Ranch,5,3,1.5,1 Car/Under House Garage,1967,3,198,Rose M Canha,9599624633,rosemcanha@example.com,2022,2022-04,Friday
170483440,CLSD,2022-06-03,SF,225000,235000.0,135 Southwest Ave,Windsor Locks,0.39,1164,1164,Ranch,5,3,1.5, Car/Carport,1953,4,198,Rose M Canha,9599624633,rosemcanha@example.com,2022,2022-06,Friday
170460088,CLSD,2022-05-02,SF,200000,155000.0,156 Cambridge Dr,East Hartford,0.18,1919,1919,Cape Cod,7,3,2.0,1 Car/Detached Garage,1942,69,199,Mahadeo Ajodhi,4752006194,mahadeoajodhi@example.com,2022,2022-05,Monday
170477420,CLSD,2022-05-02,SF,135000,159600.0,201 Clement Rd,East Hartford,0.18,1243,1243,Cape Cod,7,3,1.5,1 Car/Attached Garage,1949,9,199,Mahadeo Ajodhi,4752006194,mahadeoajodhi@example.com,2022,2022-05,Monday
170483257,CLSD,2022-06-06,SF,230000,240000.0,110 Davis Rd,East Hartford,0.29,1064,1064,Ranch,6,3,1.5,1 Car/Attached Garage,1956,4,200,Ela Heselton,9592036734,elaheselton@example.com,2022,2022-06,Monday
170503211,CLSD,2022-08-03,SF,144900,165000.0,56 Columbus St,East Hartford,0.35,1232,1232,Colonial,6,3,1.5, Car/Unpaved,1920,7,200,Ela Heselton,9592036734,elaheselton@example.com,2022,2022-08,Wednesday
170440132,CLSD,2022-04-12,SF,209900,210000.0,61 Highview St,East Hartford,0.71,1476,1476,Cape Cod,7,3,2.0, Car/Paved,1952,169,201,Robert F Rosa,2035426868,robertfrosa@example.com,2022,2022-04,Tuesday
170467672,CLSD,2022-03-31,SF,419900,440000.0,111 Whitman Ave,West Hartford,0.11,1390,1390,Colonial,6,3,1.5,1 Car/Detached Garage,1925,42,201,Robert F Rosa,2035426868,robertfrosa@example.com,2022,2022-03,Thursday
170470807,CLSD,2022-07-19,SF,169900,170000.0,42 Tower Rd,East Hartford,0.05,1434,1434,Colonial,8,3,1.5,1 Car/Under House Garage,1926,58,201,Robert F Rosa,2035426868,robertfrosa@example.com,2022,2022-07,Tuesday
170474033,CLSD,2022-08-18,SF,267900,263950.0,133 Colby Dr,East Hartford,0.35,1845,1345,Raised Ranch,5,3,1.5,2 Car/Under House Garage,1968,89,201,Robert F Rosa,2035426868,robertfrosa@example.com,2022,2022-08,Thursday
170499120,CLSD,2022-09-24,SF,179900,175000.0,80 Garden St,East Hartford,0.21,1210,1210,Farm House,6,3,1.5, Car/Paved,1918,83,201,Robert F Rosa,2035426868,robertfrosa@example.com,2022,2022-09,Saturday
170514371,CLSD,2023-01-02,SF,274900,265000.0,11 Hartz Ln,East Hartford,0.5,1686,1286,Raised Ranch,6,3,1.5,2 Car/Attached Garage,1977,46,201,Robert F Rosa,2035426868,robertfrosa@example.com,2023,2023-01,Monday
170534395,CLSD,2023-01-31,SF,164900,165000.0,57 Allen St,Windsor,0.18,1740,1740,Colonial,6,3,1.5,2 Car/Detached Garage,1928,78,201,Robert F Rosa,2035426868,robertfrosa@example.com,2023,2023-01,Tuesday
170481138,CLSD,2022-11-01,SF,184900,173500.0,39 Nassau Ln,East Hartford,0.17,1690,1690,Colonial,6,3,2.0, Car/Off Street Parking,1942,182,202,Michael Garcarz,2034650906,michaelgarcarz@example.com,2022,2022-11,Tuesday
170479624,CLSD,2022-05-23,SF,175000,180000.0,84 Ellington Rd,East Hartford,0.17,1335,1335,Colonial,6,3,1.5,1 Car/Detached Garage,1914,4,203,Scott D Sasinouski,8601332190,scottdsasinouski@example.com,2022,2022-05,Monday
170496989,CLSD,2022-09-15,SF,425000,440000.0,69 Harvest Ln,Manchester,0.44,2312,1760,Ranch,5,3,2.0,2 Car/Attached Garage,2004,2,203,Scott D Sasinouski,8601332190,scottdsasinouski@example.com,2022,2022-09,Thursday
170462193,CLSD,2022-04-14,SF,170000,182000.0,1416 Forbes St,East Hartford,0.2,1416,1416,Ranch,7,3,2.0,2 Car/Detached Garage,1951,48,204,The Zubretsky Team at Venture One Realty,9590155454,thezubretskyteamatventureonerealty@example.com,2022,2022-04,Thursday
170513826,CLSD,2022-09-06,SF,230000,230000.0,53 Greenwood Rd,Windsor Locks,0.33,1098,1098,Ranch,5,3,1.5," Car/Carport, Paved",1955,5,204,The Zubretsky Team at Venture One Realty,9590155454,thezubretskyteamatventureonerealty@example.com,2022,2022-09,Tuesday
170423582,CLSD,2022-04-29,SF,195000,182000.0,17 Whitney St,East Hartford,0.21,1274,1274,Colonial,5,3,1.5,1 Car/Detached Garage,1925,149,205,Doaa Ammar,4752306869,doaaammar@example.com,2022,2022-04,Friday
170461127,CLSD,2022-04-08,SF,340000,375000.0,38 Sunny Slope Dr,Glastonbury,0.67,1495,1150,Ranch,5,3,2.0,1 Car/Attached Garage,1959,65,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2022,2022-04,Friday
170485811,CLSD,2022-06-13,SF,179900,184000.0,15 Pratt St,East Hartford,0.2,1320,1320,Colonial,6,3,1.5,1 Car/Detached Garage,1923,4,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2022,2022-06,Monday
170498984,CLSD,2022-07-25,SF,289900,321000.0,145 Federal St,West Hartford,0.23,1500,1500,Cape Cod,7,3,2.0,1 Car/Detached Garage,1954,0,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2022,2022-07,Monday
170510391,CLSD,2022-09-09,SF,275000,275000.0,154 Naomi Dr,East Hartford,0.46,1836,1086,Raised Ranch,6,3,1.5,1 Car/Attached Garage,1965,5,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2022,2022-09,Friday
170536378,CLSD,2022-12-31,SF,295000,310000.0,38 Hickory Cir,Middletown,0.49,1305,1305,Colonial,6,3,1.5,1 Car/Attached Garage,1961,7,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2022,2022-12,Saturday
170540582,CLSD,2023-01-04,SF,259900,260000.0,22 Clinton St,Glastonbury,0.19,1660,1660,Cape Cod,6,3,2.0,1 Car/Attached Garage,1941,20,206,Margaret Wilcox Team,9597659775,margaretwilcoxteam@example.com,2023,2023-01,Wednesday
170533052,CLSD,2022-12-22,SF,199900,189000.0,62 Bliss St,East Hartford,0.36,1269,1269,Colonial,6,3,2.0,"3 Car/Attached Garage, Detached Garage, Paved",1920,37,207,Jean McAllister,4751473367,jeanmcallister@example.com,2022,2022-12,Thursday
170507293,CLSD,2022-09-18,SF,189900,189900.0,7 Beaumont St,East Hartford,0.13,1510,1510,Cape Cod,6,3,2.0,1 Car/Attached Garage,1900,31,208,Brian Zenobi,9593480810,brianzenobi@example.com,2022,2022-09,Sunday
170489825,CLSD,2022-07-06,SF,290000,190000.0,891 Silver Ln,East Hartford,6.1,1540,1540,Other,5,3,1.5,1 Car/Detached Garage,1946,36,209,Dennis Bok,8605696921,dennisbok@example.com,2022,2022-07,Wednesday
170507399,CLSD,2022-08-22,SF,159120,191000.0,80 Heather Dr,East Hartford,0.18,1196,1196,Raised Ranch,5,3,2.0,1 Car/Attached Garage,1968,17,210,Alicia Mercer,9591411822,aliciamercer@example.com,2022,2022-08,Monday
170515758,CLSD,2023-02-03,SF,157000,153500.0,124 S. Water St,East Windsor,0.1,1823,1823,Colonial,7,3,2.0," Car/Paved, Driveway, Off Street Parking",1770,106,210,Alicia Mercer,9591411822,aliciamercer@example.com,2023,2023-02,Friday
170509271,CLSD,2022-11-24,SF,194900,195000.0,26 Ann St,East Hartford,0.16,1223,1223,Cape Cod,6,3,1.5," Car/Tandem, Paved",1925,126,211,Sommala Khoxayo,2035779723,sommalakhoxayo@example.com,2022,2022-11,Thursday
170474524,CLSD,2022-04-14,SF,225000,305000.0,51 Rosewood Dr,Glastonbury,0.69,2055,2055,Contemporary,6,3,1.5,3 Car/Attached Garage,1980,5,212,Robert Perriello,4758227025,robertperriello@example.com,2022,2022-04,Thursday
170494678,CLSD,2022-08-05,SF,434900,450000.0,31 Tumblebrook Ln,West Hartford,0.35,2328,1860,Ranch,7,3,2.0,2 Car/Attached Garage,1957,11,212,Robert Perriello,4758227025,robertperriello@example.com,2022,2022-08,Friday
170495153,CLSD,2022-07-01,SF,285000,290000.0,49 Seneca St,New Britain,0.17,1464,1464,Cape Cod,6,3,1.5,1 Car/Attached Garage,1937,31,212,Robert Perriello,4758227025,robertperriello@example.com,2022,2022-07,Friday
170528499,CLSD,2023-02-06,SF,199900,196900.0,389 Forbes St,East Hartford,0.16,1472,1472,Cape Cod,6,3,2.0,1 Car/Attached Garage,1942,30,212,Robert Perriello,4758227025,robertperriello@example.com,2023,2023-02,Monday
170479123,CLSD,2022-09-21,SF,199900,199000.0,27 Latimer St,East Hartford,0.11,924,924,Cape Cod,6,3,1.5,"1 Car/Detached Garage, Paved",1920,35,213,Nankumar Nemdharie,4753976545,nankumarnemdharie@example.com,2022,2022-09,Wednesday
170531475,CLSD,2023-02-25,SF,199900,199900.0,426 Burnside Ave,East Hartford,0.17,1280,1280,Colonial,6,3,1.5,"1 Car/Detached Garage, Paved, Driveway",1914,127,214,Nathalee A Golden,8602912481,nathaleeagolden@example.com,2023,2023-02,Saturday
170507314,CLSD,2022-11-08,SF,199900,199900.0,93 Francis St,East Hartford,0.12,1314,1314,Colonial,6,3,2.0,1 Car/Under House Garage,1928,98,215,Roselyn Gyampoh,4755261003,roselyngyampoh@example.com,2022,2022-11,Tuesday
170512162,CLSD,2022-12-21,SF,185000,200000.0,21 Burnham St,East Hartford,0.26,1120,1120,Raised Ranch,6,3,1.5,2 Car/Attached Garage,1978,15,216,Jonathan D Gineo,9591723715,jonathandgineo@example.com,2022,2022-12,Wednesday
170519377,CLSD,2023-02-15,SF,190000,230100.0,23 Selldan St,West Hartford,0.23,1394,1394,Cape Cod,6,3,2.0,3 Car/Detached Garage,1931,16,216,Jonathan D Gineo,9591723715,jonathandgineo@example.com,2023,2023-02,Wednesday
170520662,CLSD,2022-11-19,SF,259900,260000.0,33 Proctor Rd,Manchester,0.17,1420,1420,Colonial,7,3,1.5, Car/Other,1929,34,216,Jonathan D Gineo,9591723715,jonathandgineo@example.com,2022,2022-11,Saturday
170487058,CLSD,2022-06-28,SF,198000,200000.0,514 Silver Ln,East Hartford,0.18,1685,1685,Colonial,8,3,1.5,"2 Car/Detached Garage, Carport",1927,10,217,Lynnie Thai,8607217840,lynniethai@example.com,2022,2022-06,Tuesday
170462780,CLSD,2022-04-23,SF,209000,200000.0,171 Henderson Dr,East Hartford,0.23,1430,1030,Split Level,5,3,2.0, Car/Paved,1960,33,218,Thomas W Hulk,4758907215,thomaswhulk@example.com,2022,2022-04,Saturday
170472862,CLSD,2022-04-11,SF,199900,203000.0,88 Knollwood Rd,East Hartford,0.34,1631,1631,Colonial,7,3,1.5,2 Car/Detached Garage,1947,4,219,Ben Castonguay,4758359370,bencastonguay@example.com,2022,2022-04,Monday
170513500,CLSD,2022-10-05,SF,344900,345000.0,294 Grissom Rd,Manchester,0.57,1564,1564,Ranch,7,3,2.0,2 Car/Attached Garage,1976,17,219,Ben Castonguay,4758359370,bencastonguay@example.com,2022,2022-10,Wednesday
170530637,CLSD,2022-12-22,SF,219900,253000.0,55 Janet Dr,East Hartford,0.27,1223,960,Ranch,5,3,2.0,1 Car/Attached Garage,1957,3,219,Ben Castonguay,4758359370,bencastonguay@example.com,2022,2022-12,Thursday
170531766,CLSD,2023-01-21,SF,194500,206000.0,80 Laurel St,East Hartford,0.14,1344,1344,Cape Cod,6,3,1.5, Car/Paved,1959,13,220,Felicia Otoo,9597041238,feliciaotoo@example.com,2023,2023-01,Saturday
170480772,CLSD,2022-05-27,SF,235000,255000.0,184 Parker St,Manchester,0.19,1334,1334,Ranch,6,3,1.5,2 Car/Under House Garage,1964,6,221,Patricia Kilpatrick,4759943637,patriciakilpatrick@example.com,2022,2022-05,Friday
170486196,CLSD,2022-07-19,SF,190000,206000.0,98 Highview St,East Hartford,0.27,1388,1388,Cape Cod,5,3,1.5, Car/Paved,1965,4,221,Patricia Kilpatrick,4759943637,patriciakilpatrick@example.com,2022,2022-07,Tuesday
170538021,CLSD,2023-02-01,SF,169900,189000.0,800 Center St,Manchester,0.25,1259,1259,Cape Cod,5,3,2.0," Car/Paved, Driveway",1949,4,221,Patricia Kilpatrick,4759943637,patriciakilpatrick@example.com,2023,2023-02,Wednesday
170542137,CLSD,2023-02-08,SF,200000,236000.0,37 Holcomb Hill Rd,Windsor,0.66,1300,1300,Raised Ranch,6,3,2.0,2 Car/Under House Garage,1973,5,221,Patricia Kilpatrick,4759943637,patriciakilpatrick@example.com,2023,2023-02,Wednesday
170532052,CLSD,2023-02-06,SF,219999,210000.0,118 Handel Rd,East Hartford,0.16,1301,1301,Ranch,7,3,2.0,"1 Car/Attached Garage, Driveway",1941,37,222,Melecia Hinds,4754408105,meleciahinds@example.com,2023,2023-02,Monday
170539831,CLSD,2023-03-08,SF,220000,220000.0,8 Hillcrest Rd,East Hartford,0.17,1427,1427,Cape Cod,6,3,2.0,1 Car/Detached Garage,1941,32,223,Devante A Roman,4751835761,devantearoman@example.com,2023,2023-03,Wednesday
170501919,CLSD,2022-09-10,SF,224900,220000.0,648 Brewer St,East Hartford,0.25,1066,1066,Ranch,5,3,2.0,1 Car/Carport,1956,80,224,Miguel A Castellon,4752305193,miguelacastellon@example.com,2022,2022-09,Saturday
170491273,CLSD,2022-06-17,SF,269900,277000.0,2 Sequin Rd,West Hartford,0.34,1230,1230,Ranch,6,3,1.5,1 Car/Attached Garage,1951,10,225,Sherry Borgeson,4753342522,sherryborgeson@example.com,2022,2022-06,Friday
170493009,CLSD,2022-06-16,SF,194900,222000.0,666 Brewer St,East Hartford,0.25,1166,1166,Ranch,5,3,2.0,"1 Car/Carport, Paved, Off Street Parking",1956,4,225,Sherry Borgeson,4753342522,sherryborgeson@example.com,2022,2022-06,Thursday
170532167,CLSD,2023-03-10,SF,225000,222500.0,35 Stanley St,East Hartford,0.13,1502,1502,Cape Cod,6,3,2.0, Car/Driveway,1948,20,226,Obed Siawor,4755770357,obedsiawor@example.com,2023,2023-03,Friday
170540829,CLSD,2023-02-10,SF,259900,285000.0,55 Millbrook Rd,Middletown,0.35,2097,1185,Raised Ranch,7,3,2.0,2 Car/Attached Garage,1973,12,226,Obed Siawor,4755770357,obedsiawor@example.com,2023,2023-02,Friday
170469315,CLSD,2022-05-07,SF,249000,243000.0,155 Greenwood St,East Hartford,0.29,1067,1067,Ranch,5,3,1.5," Car/Paved, Off Street Parking",1952,5,227,Ilka D Torres,8600235622,ilkadtorres@example.com,2022,2022-05,Saturday
170507589,CLSD,2022-11-03,SF,249000,255000.0,29 Shenfield St,New Britain,0.16,1229,1229,Cape Cod,6,3,2.0, Car/Off Street Parking,1953,87,227,Ilka D Torres,8600235622,ilkadtorres@example.com,2022,2022-11,Thursday
170507773,CLSD,2022-09-26,SF,339000,310000.0,174 Colby Dr,East Hartford,0.37,1428,1428,Raised Ranch,7,3,2.0,"2 Car/Paved, Off Street Parking",1966,15,227,Ilka D Torres,8600235622,ilkadtorres@example.com,2022,2022-09,Monday
170536757,CLSD,2023-03-02,SF,229000,225000.0,383 Forbes St,East Hartford,0.16,1296,1296,Cape Cod,6,3,1.5,"1 Car/Detached Garage, Off Street Parking",1941,62,227,Ilka D Torres,8600235622,ilkadtorres@example.com,2023,2023-03,Thursday
170507111,CLSD,2022-09-30,SF,215000,225000.0,27 May St,East Hartford,0.13,1618,1618,Colonial,7,3,1.5,"2 Car/Detached Garage, Paved, Driveway",1929,5,228,Hala Hanna,8602504591,halahanna@example.com,2022,2022-09,Friday
170540711,CLSD,2023-01-04,SF,219000,212000.0,29 Palm St,Manchester,0.14,1104,1104,Ranch,6,3,2.0, Car/Driveway,1969,7,228,Hala Hanna,8602504591,halahanna@example.com,2023,2023-01,Wednesday
170541526,CLSD,2023-01-27,SF,225000,255000.0,137 Beacon Hill Rd,East Hartford,0.23,1076,1076,Ranch,5,3,1.5,2 Car/Detached Garage,1961,4,228,Hala Hanna,8602504591,halahanna@example.com,2023,2023-01,Friday
170505629,CLSD,2022-09-21,SF,210000,225000.0,398 Park Ave,East Hartford,0.4,1276,1276,Cape Cod,6,3,2.0,1 Car/Detached Garage,1942,25,229,Peter James,4756805246,peterjames@example.com,2022,2022-09,Wednesday
170483665,CLSD,2022-05-31,SF,199900,225000.0,14 Garden St,East Hartford,0.17,1474,1474,Cape Cod,6,3,1.5, Car/Paved,1952,3,230,Lisa M Hutt,4759950376,lisamhutt@example.com,2022,2022-05,Tuesday
170478800,CLSD,2022-06-24,SF,129900,140000.0,18 Windermere Ave,Vernon,0.97,1550,1550,Colonial,7,3,1.5,2 Car/Detached Garage,1900,28,231,Pam Moriarty,2036327703,pammoriarty@example.com,2022,2022-06,Friday
170535989,CLSD,2023-01-18,SF,199900,230000.0,87 Collimore Rd,East Hartford,0.3,1617,1267,Cape Cod,6,3,2.0,2 Car/Detached Garage,1952,4,231,Pam Moriarty,2036327703,pammoriarty@example.com,2023,2023-01,Wednesday
170522234,CLSD,2022-11-29,SF,230000,230000.0,176 Great Hill Rd,East Hartford,0.43,1040,1040,Ranch,5,3,1.5,1 Car/Attached Garage,1959,11,232,Franklin Osei-Assibey,9592790780,franklinosei-assibey@example.com,2022,2022-11,Tuesday
170511737,CLSD,2022-09-07,SF,219900,251200.0,41 Berkshire Dr,Farmington,0.46,1304,1304,Ranch,6,3,1.5,2 Car/Under House Garage,1959,2,233,Alison Malkin,8602012851,alisonmalkin@example.com,2022,2022-09,Wednesday
170529709,CLSD,2023-01-13,SF,225000,235000.0,43 Livingston Rd,East Hartford,0.14,1757,1757,Colonial,6,3,1.5,2 Car/Detached Garage,1930,3,233,Alison Malkin,8602012851,alisonmalkin@example.com,2023,2023-01,Friday
170518241,CLSD,2022-10-11,SF,239900,239900.0,760 Goodwin St,East Hartford,0.4,1437,1437,Cape Cod,6,3,1.5,"2 Car/Detached Garage, Paved, Off Street Parking",1940,4,234,Martin Torres,8607448635,martintorres@example.com,2022,2022-10,Tuesday
170478990,CLSD,2022-06-12,SF,285000,303000.0,42 Columbia Rd,Windsor,0.5,1820,1244,Raised Ranch,7,3,1.5,"2 Car/Attached Garage, Under House Garage",1970,65,235,Maria S Aubey,9598876939,mariasaubey@example.com,2022,2022-06,Sunday
170519004,CLSD,2022-10-21,SF,249900,240000.0,82 Holland Ln,East Hartford,0.24,1089,1089,Ranch,5,3,2.0,"1 Car/Attached Garage, Carport, Driveway",1957,44,235,Maria S Aubey,9598876939,mariasaubey@example.com,2022,2022-10,Friday
170471989,CLSD,2022-04-22,SF,289900,330000.0,66 Baldwin Rd,Manchester,0.39,1770,1770,Cape Cod,7,3,2.0,1 Car/Attached Garage,1941,3,236,Kathy P Urbanetti,8601028868,kathypurbanetti@example.com,2022,2022-04,Friday
170515553,CLSD,2022-11-01,SF,229900,240000.0,155 Spruce Dr,East Hartford,0.24,1421,1421,Colonial,6,3,1.5,1 Car/Attached Garage,1965,6,236,Kathy P Urbanetti,8601028868,kathypurbanetti@example.com,2022,2022-11,Tuesday
170512277,CLSD,2022-10-06,SF,239000,240000.0,15 Knollwood Rd,East Hartford,0.31,1826,1826,"Colonial, Tudor",7,3,1.5," Car/Under House Garage, Paved, Off Street Parking",1931,4,237,Jordana S Fournier,4755727491,jordanasfournier@example.com,2022,2022-10,Thursday
170493839,CLSD,2022-08-14,SF,249999,240000.0,55 Daniel St,East Hartford,0.21,1270,1270,Colonial,7,3,2.0,"2 Car/Detached Garage, Off Street Parking",1929,21,238,Ivan Trenado-Verduzco,9595890478,ivantrenado-verduzco@example.com,2022,2022-08,Sunday
170481117,CLSD,2022-04-21,SF,230000,240000.0,60 Bedford Ave,East Hartford,0.21,1224,1224,Cape Cod,6,3,2.0, Car/Paved,1942,1,239,Nathan Alexander,8605892933,nathanalexander@example.com,2022,2022-04,Thursday
170460380,CLSD,2022-04-08,SF,194900,195000.0,24 Proctor Rd,Manchester,0.17,1775,1775,Colonial,6,3,1.5,2 Car/Detached Garage,1933,41,240,Katrina A Pratt,2034846846,katrinaapratt@example.com,2022,2022-04,Friday
170463003,CLSD,2022-03-23,SF,219900,240000.0,16 Primrose Dr,East Hartford,0.2,1706,1706,"Cape Cod, Colonial",7,3,2.0,"1 Car/Attached Garage, Carport",1954,7,240,Katrina A Pratt,2034846846,katrinaapratt@example.com,2022,2022-03,Wednesday
170516046,CLSD,2022-11-21,SF,239900,219500.0,126 Englewood Ave,West Hartford,0.17,1311,1311,Colonial,6,3,1.5,1 Car/Detached Garage,1922,12,240,Katrina A Pratt,2034846846,katrinaapratt@example.com,2022,2022-11,Monday
170529113,CLSD,2022-11-19,SF,239900,241000.0,135 Appletree Dr,East Hartford,0.56,1768,1768,Cape Cod,7,3,2.0,1 Car/Attached Garage,1963,6,241,Feery Team at Berkshire Hathaway HomeSerivices New England Properties,4758839638,feeryteamatberkshirehathawayhomeserivicesnewenglandproperties@example.com,2022,2022-11,Saturday
170544095,CLSD,2023-02-28,SF,269900,275000.0,442 Forest St,East Hartford,0.25,1421,1421,Colonial,6,3,2.0,2 Car/Attached Garage,1961,5,241,Feery Team at Berkshire Hathaway HomeSerivices New England Properties,4758839638,feeryteamatberkshirehathawayhomeserivicesnewenglandproperties@example.com,2023,2023-02,Tuesday
170461610,CLSD,2022-04-18,SF,259900,270000.0,149 New Bolton Rd,Manchester,0.56,1566,1566,"Cape Cod, Bungalow",6,3,2.0,2 Car/Detached Garage,1930,27,242,Lisa D Daniels,8607520483,lisaddaniels@example.com,2022,2022-04,Monday
170499294,CLSD,2022-07-30,SF,235000,243000.0,80 Maple St,East Hartford,0.52,1427,1427,"Cape Cod, Bungalow",6,3,2.0,"2 Car/Tandem, Detached Garage",1940,18,242,Lisa D Daniels,8607520483,lisaddaniels@example.com,2022,2022-07,Saturday
170479318,CLSD,2022-06-18,SF,269900,305000.0,82 Kingsbury Ln,Glastonbury,0.13,1484,1484,Colonial,6,3,1.5, Car/Paved,1992,1,243,Barrett Daly Team at Berkshire Hathaway HomeServices New England Properties,9594777497,barrettdalyteamatberkshirehathawayhomeservicesnewenglandproperties@example.com,2022,2022-06,Saturday
